,"Second Spectrum Physical Summary"
,"Game ID: 2312152"

,,Total,First,Second
,"Game time",99:08,50:03,49:04
,"Effective Playing Time",58:25,32:13,26:12
,"Home EPT",42:33,24:11,18:22
,"Away EPT",15:51,08:02,07:49

ID,Player,Minutes,Distance,Walking,Jogging,Running,"High Speed Running",Sprinting,"No. of High Intensity Runs","Top Speed","Average Speed","Distance TIP","HSR Distance TIP","Sprint Distance TIP","No. of High Intensity Runs TIP","Distance OTIP","HSR Distance OTIP","Sprint Distance OTIP","No. of High Intensity Runs OTIP","Distance BOP","HSR Distance BOP","Sprint Distance BOP","No. of High Intensity Runs BOP"
447080,"Kerstin Casparij",99:08,10297.2,2998.13,4273.78,2304.81,503.72,216.76,67,29.84,6.23,5556.62,237.89,82.93,29,2344.39,236.97,133.83,36,2396.19,28.86,0,2
96385,"Laura Coombs",99:08,10230.45,3207.3,3813.45,2505.03,560.28,144.39,76,28.05,6.19,5691.47,391.43,118.51,57,2299.96,163.61,25.87,19,2239.02,5.24,0,0
246319,"Esme Morgan",99:08,9546.76,3471.99,3639.34,1938.22,371.81,125.4,51,28.82,5.78,5077.72,168.69,91.61,28,2016.9,153.88,19.67,17,2452.14,49.24,14.13,6
192194,"Yui Hasegawa",99:08,10691.37,2655.8,4901.59,2675.72,354.94,103.33,50,26.15,6.47,6106.33,139.4,21.36,19,2521.78,214.48,81.97,31,2063.26,1.06,0,0
174349,"Chloe Kelly",77:20,6615.74,2830.27,2417.91,919.28,293.49,154.78,53,27.63,5.13,3569.25,185.92,138.3,41,1569.59,107.57,16.48,12,1476.9,0,0,0
434287,"Laia Aleixandri",84:32,7795.92,2517.96,3486.7,1490.8,242.47,58.0,28,26.06,5.53,4218.51,89.01,0.52,8,1720.28,128.72,57.48,18,1857.13,24.74,0,2
96535,"Alex Greenwood",86:37,7620.89,2739.01,2962.48,1547.83,304.05,67.52,39,26.08,5.28,3966.66,146.8,31.77,17,1678.89,140.38,30.74,21,1975.34,16.87,5.0,1
459038,"Deyna Castellanos",84:13,8624.97,2584.56,3500.76,2015.49,396.61,127.56,60,27.04,6.14,4715.65,190.77,79.62,31,2181.44,201.62,41.12,28,1727.88,4.23,6.82,1
186022,"Ellie Roebuck",99:08,3887.36,2642.42,1080.51,164.43,0,0,0,16.98,2.35,2006.53,0,0,0,794.17,0,0,0,1086.67,0,0,0
186043,"Lauren Hemp",86:18,8035.76,3159.35,2595.36,1656.03,420.0,205.01,74,26.59,5.59,4336.15,304.58,157.73,55,1604.0,102.31,45.47,18,2095.61,13.11,1.82,1
463306,"Khadija Shaw",99:08,9941.3,3272.68,4049.82,2011.79,445.64,161.36,65,28.54,6.02,5408.98,295.35,122.59,43,2326.32,148.23,38.24,21,2206.01,2.07,0.53,1
14772,"Steph Houghton",12:30,1378.03,418.83,652.04,266.21,34.41,6.54,4,23.55,6.61,725.11,0,0,0,330.35,34.41,6.54,4,322.58,0,0,0
191726,"Filippa Angeldahl",14:54,1773.04,446.76,680.73,408.28,127.95,109.32,24,26.73,7.13,938.21,62.64,23.25,11,459.29,63.6,86.07,13,375.53,1.7,0,0
175128,"Hayley Raso",21:47,2003.81,675.56,628.87,419.46,151.07,128.86,29,29.11,5.52,1006.94,94.88,118.68,23,382.48,21.87,1.29,4,614.39,34.31,8.89,2
242633,"Leila Ouahabi",14:35,1671.65,443.9,759.98,378.07,63.77,25.92,11,23.9,6.87,922.92,20.81,4.15,3,345.16,41.45,21.77,8,403.57,1.51,0,0
243637,"Julie Blakstad",12:49,1517.59,402.29,662.16,276.88,104.32,71.94,22,27.69,7.1,729.03,53.42,60.94,16,316.31,26.56,11.0,4,472.25,24.34,0,2


