,"Second Spectrum Physical Summary"
,"Game ID: 2312213"

,,Total,First,Second
,"Game time",97:36,47:09,50:27
,"Effective Playing Time",56:13,26:31,29:41
,"Home EPT",34:19,16:27,17:52
,"Away EPT",21:53,10:04,11:49

ID,Player,Minutes,Distance,Walking,Jogging,Running,"High Speed Running",Sprinting,"No. of High Intensity Runs","Top Speed","Average Speed","Distance TIP","HSR Distance TIP","Sprint Distance TIP","No. of High Intensity Runs TIP","Distance OTIP","HSR Distance OTIP","Sprint Distance OTIP","No. of High Intensity Runs OTIP","Distance BOP","HSR Distance BOP","Sprint Distance BOP","No. of High Intensity Runs BOP"
174349,"Chloe Kelly",97:36,9301.44,3392.21,3469.38,1622.14,538.13,279.58,99,28.75,5.72,3942.98,330.8,191.48,65,3073.86,193.38,86.81,31,2284.6,13.95,1.29,3
186022,"Ellie Roebuck",97:36,3916.18,2502.77,1204.67,208.74,0,0,0,16.54,2.41,1394.18,0,0,0,1028.66,0,0,0,1493.33,0,0,0
96535,"Alex Greenwood",97:36,9247.93,3043.06,3444.68,2157.2,486.74,116.24,54,27.34,5.68,3595.56,107.08,0,10,3097.73,346.01,116.24,42,2554.64,33.65,0,2
434287,"Laia Aleixandri",97:36,10324.71,3167.7,4371.86,2239.67,484.07,61.4,51,26.1,6.35,4300.99,108.91,2.88,13,3183.47,317.73,44.26,32,2840.25,57.43,14.26,6
457401,"Mary Fowler",07:12,925.79,190.06,384.86,313.61,37.27,0,4,21.51,7.71,514.43,25.51,0,3,243.72,11.76,0,1,167.64,0,0,0
463306,"Khadija Shaw",90:24,8884.99,3377.93,2958.82,1900.95,471.65,175.64,67,28.85,5.9,4087.42,323.46,132.54,52,2777.43,139.86,43.1,15,2020.13,8.32,0,0
192194,"Yui Hasegawa",97:36,10871.03,2577.28,4832.46,2964.47,422.56,74.27,52,25.85,6.68,4793.12,110.3,39.96,12,3901.17,308.47,34.31,40,2176.75,3.79,0,0
186043,"Lauren Hemp",85:41,8017.66,3132.31,2517.59,1819.05,411.36,137.36,70,26.45,5.61,3404.51,214.26,95.48,43,2696.39,189.12,33.66,24,1916.77,7.98,8.22,3
459038,"Deyna Castellanos",11:50,1269.2,386.97,505.28,238.0,99.2,39.76,15,25.39,6.43,626.1,56.31,34.57,9,434.66,42.89,5.18,6,208.44,0,0,0
243637,"Julie Blakstad",11:55,1274.67,314.27,555.2,317.6,81.66,5.94,8,23.07,6.42,579.53,37.18,5.94,3,472.69,44.48,0,5,222.45,0,0,0
14772,"Steph Houghton",86:24,8740.02,3349.85,2921.3,2000.09,361.67,107.11,38,26.73,6.07,3368.52,52.37,31.87,6,2749.07,286.17,75.23,31,2622.42,23.13,0,1
191726,"Filippa Angeldahl",97:36,11360.84,2747.76,4733.42,3154.48,630.69,94.49,66,26.07,6.98,4913.02,309.6,63.48,38,3778.74,293.31,21.02,26,2669.09,27.78,10.0,2
242633,"Leila Ouahabi",90:24,8954.15,3078.53,3441.3,1854.96,492.98,86.38,55,27.24,5.94,3701.97,137.97,20.13,17,2996.21,344.15,59.61,37,2255.98,10.86,6.64,1
96385,"Laura Coombs",85:46,8964.48,2959.47,2987.39,2510.88,444.83,61.92,49,27.02,6.27,3944.52,222.15,18.32,23,3005.7,214.97,43.6,25,2014.26,7.71,0,1
246319,"Esme Morgan",11:12,1116.39,348.08,394.1,303.87,54.73,15.6,10,24.08,5.98,509.68,21.45,0,4,400.03,16.07,8.0,3,206.68,17.22,7.61,3
178419,"Demi Stokes",07:12,766.56,247.25,281.93,195.41,36.0,5.97,5,23.33,6.39,424.95,18.49,5.97,4,204.9,17.51,0,1,136.72,0,0,0


ID,Player,Minutes,Distance,Walking,Jogging,Running,"High Speed Running",Sprinting,"No. of High Intensity Runs","Top Speed","Average Speed","Distance TIP","HSR Distance TIP","Sprint Distance TIP","No. of High Intensity Runs TIP","Distance OTIP","HSR Distance OTIP","Sprint Distance OTIP","No. of High Intensity Runs OTIP","Distance BOP","HSR Distance BOP","Sprint Distance BOP","No. of High Intensity Runs BOP"
112806,"Tinja-Riikka Korpela",97:36,4747.58,3383.86,1155.46,198.03,10.23,0,2,20.14,2.92,1441.01,0.44,0,0,1773.97,9.79,0,2,1532.6,0,0,0
