,"Second Spectrum Physical Summary"
,"Game ID: 2312213"

,,Total,First,Second
,"Game time",97:36,47:09,50:27
,"Effective Playing Time",56:13,26:31,29:41
,"Home EPT",34:19,16:27,17:52
,"Away EPT",21:53,10:04,11:49

ID,Player,Minutes,Distance,Walking,Jogging,Running,"High Speed Running",Sprinting,"No. of High Intensity Runs","Top Speed","Average Speed","Distance TIP","HSR Distance TIP","Sprint Distance TIP","No. of High Intensity Runs TIP","Distance OTIP","HSR Distance OTIP","Sprint Distance OTIP","No. of High Intensity Runs OTIP","Distance BOP","HSR Distance BOP","Sprint Distance BOP","No. of High Intensity Runs BOP"
96455,"Amy Turner",97:36,8807.76,3061.17,3455.81,1961.44,290.71,38.64,37,24.97,5.41,2714.97,39.54,6.66,4,4335.67,249.52,20.31,31,1757.12,1.65,11.67,2
171708,"Molly Bartrip",97:36,8542.81,3024.71,3627.46,1548.95,279.98,61.71,38,25.61,5.25,2602.69,32.89,5.78,3,4261.05,238.65,55.93,35,1679.07,8.44,0,0
96484,"Kerys Harrop",97:36,8871.34,3001.99,3574.5,2006.04,269.62,19.19,23,23.86,5.45,2730.5,41.48,1.05,2,4249.74,219.61,18.14,20,1891.09,8.53,0,1
491747,"Nikola Karczewska",93:07,10179.2,3949.63,3096.34,2436.17,585.04,112.01,68,27.28,6.56,3228.04,380.42,84.23,46,4251.91,191.18,27.78,20,2699.25,13.44,0,2
475116,"Celin Bizet Ildhusoy",97:36,9912.01,3316.12,3811.52,2162.38,490.33,131.66,73,26.72,6.09,3208.77,240.68,42.96,29,4314.26,237.37,84.71,42,2388.98,12.27,3.99,2
114407,"Angharad James",97:36,10605.31,2895.84,4265.9,3091.72,336.05,15.8,33,24.15,6.52,3061.39,35.76,4.4,5,5475.34,300.29,11.4,28,2068.58,0,0,0
97160,"Mana Iwabuchi",97:36,9163.01,4152.61,2877.75,1406.27,583.22,143.16,65,26.76,5.63,2723.61,271.28,86.94,31,3931.0,294.64,55.44,33,2508.39,17.29,0.78,1
168444,"Rosella Ayane",65:02,6780.11,2635.57,2173.26,1365.27,382.04,223.96,62,30.51,6.25,1933.39,167.79,165.03,35,2863.8,196.75,49.14,26,1982.91,17.5,9.79,1
96404,"Drew Spence",85:02,8777.42,3070.51,2823.17,2476.99,392.27,14.48,38,23.82,6.19,2682.86,183.85,3.36,16,4136.02,194.47,6.58,22,1958.53,13.95,4.53,0
477767,"Ashleigh Neville",97:36,10218.8,3169.9,3851.83,2569.48,452.87,174.71,67,28.07,6.28,2973.1,50.04,8.36,10,4606.14,377.91,164.16,55,2639.56,24.92,2.19,2
209949,"So-Hyun Cho",12:33,1447.15,328.95,499.33,490.5,123.99,4.39,11,23.0,6.91,429.64,49.09,0,4,722.73,60.26,4.39,6,294.78,14.65,0,1
491043,"Kit Graham",32:33,3382.46,1131.52,1190.55,855.49,180.49,24.41,22,23.56,6.23,1076.61,64.54,6.21,9,1570.51,108.95,17.42,12,735.35,7.0,0.78,1
605377,"Lenna Gunning-WIlliams",04:28,585.01,114.85,250.7,168.29,51.17,0,3,21.78,7.83,129.64,9.31,0,1,291.15,38.22,0,2,164.22,3.63,0,0
